,Image,Title,Publisher
1,Photo 02-09-16 09 06 42.jpg,Play Framework Cookbook,Packt
2,Photo 02-09-16 09 07 58.jpg,The Pragmatic Programmer,Addison Wesley
3,Photo 02-09-16 09 09 50.jpg,Pragmatic Guide to Sass,The Pragmatic Programmers
4,Photo 02-09-16 09 10 07.jpg,Maintainable Javascript,O´REILLY
5,Photo 02-09-16 09 10 23.jpg,ActiveMQ in action,Manning
6,Photo 02-09-16 09 11 55.jpg,Agile Software Development with Scrum,
7,Photo 02-09-16 09 14 59.jpg,Rocket Surgery Made Easy,
8,Photo 02-09-16 09 15 06.jpg,NoSQL Distilled,Addison Wesley
9,Photo 02-09-16 09 15 14.jpg,Planning Extreme Programming,
10,Photo 02-09-16 09 15 21.jpg,Extreme Programming Installed,
11,Photo 02-09-16 09 15 29.jpg,DSLs in action,Manning
12,Photo 02-09-16 09 15 39.jpg,Spring in action,Manning
13,Photo 02-09-16 09 15 48.jpg,Wicket in action,Manning
14,Photo 02-09-16 09 15 57.jpg,Flex 3 in action,Manning
15,Photo 02-09-16 09 16 07.jpg,Practices of an Agile Developer,The Pragmatic Programmers
16,Photo 02-09-16 09 16 16.jpg,PostGIS in action,Manning
17,Photo 02-09-16 09 16 24.jpg,Lucene in action,Manning
18,Photo 02-09-16 09 16 33.jpg,Grails in action,Manning
19,Photo 02-09-16 09 16 42.jpg,Collective Intelligence in action,Manning
20,Photo 02-09-16 09 16 59.jpg,QWT in practice,Manning
21,Photo 02-09-16 09 17 41.jpg,Windows Azure Platform,Apress
22,Photo 02-09-16 09 19 20.jpg,Test Driven,Manning
23,Photo 02-09-16 09 19 29.jpg,LINQ in action,Manning
24,Photo 02-09-16 09 19 53.jpg,Developing Applications for the Cloud,Microsoft
25,Photo 02-09-16 09 20 03.jpg,Programming in Objective-C 2.0,Addison Wesley
26,Photo 02-09-16 09 20 19.jpg,Introducing HTML 5,
27,Photo 02-09-16 09 20 52.jpg,Game storming,O´REILLY
28,Photo 02-09-16 09 21 51.jpg,MySQL High Availability,O´REILLY
29,Photo 02-09-16 09 22 10.jpg,Apache Solr 3 Enterprise Search Server,Packt
30,Photo 02-09-16 09 22 25.jpg,The Definitive Guide to Terracotta,Apress
31,Photo 02-09-16 09 23 41.jpg,Effective Java,Sun microsystems
32,Photo 02-09-16 09 26 16.jpg,Microsoft Windows Azure Development Cookbook,Packt
33,Photo 02-09-16 09 26 24.jpg,Scrumban,
34,Photo 02-09-16 09 26 31.jpg,The enterprise and Scrum,Microsoft
35,Photo 02-09-16 09 26 39.jpg,DevOps for Developers,Apress
36,Photo 02-09-16 09 26 47.jpg,Exam Ref 70-518,Microsoft
37,Photo 02-09-16 09 27 29.jpg,Apache Cookbook,O´REILLY
38,Photo 02-09-16 09 27 39.jpg,Pro ASP.NET MVC 3 Framework,Apress
39,Photo 02-09-16 09 27 46.jpg,Professional ASP.NET MVC 3,Wrox
40,Photo 02-09-16 09 28 58.jpg,The Mythical Man-Month,
41,Photo 02-09-16 09 29 09.jpg,Seven Databases in Seven Weeks,The Pragmatic Programmers
42,Photo 02-09-16 09 29 24.jpg,Software Testing using Visual Studio 2010,Packt
43,Photo 02-09-16 09 29 44.jpg,About Face 3,
44,Photo 02-09-16 09 30 10.jpg,TOGAF Version 9.1,The Open Group
45,Photo 02-09-16 09 31 33.jpg,Programming Ruby,The Pragmatic Programmers
46,Photo 02-09-16 09 31 40.jpg,Refactoring,Addison Wesley
47,Photo 02-09-16 09 31 52.jpg,SharePoint 2010 Workflows in action,Manning
48,Photo 02-09-16 09 32 00.jpg,LPI Linux certification in a nutshell,O´REILLY
49,Photo 02-09-16 09 32 34.jpg,QlikView 11 for Developers,Packt
50,Photo 02-09-16 09 33 11.jpg,Oracle WebLogic Server 12c,
51,Photo 02-09-16 09 33 19.jpg,PHP in action,Manning
52,Photo 02-09-16 09 34 26.jpg,Usability Engineering,
53,Photo 02-09-16 09 34 34.jpg,Agile Software Development with Scrum,
54,Photo 02-09-16 09 34 43.jpg,Agile Estimating and Planning,Prentice Hall
55,Photo 02-09-16 09 34 58.jpg,Microsoft Dynamics CRM 2011 Customizing & Configuration (MB2-866) Certification Guide,Packt
56,Photo 02-09-16 09 35 08.jpg,Designing Search,
57,Photo 02-09-16 09 35 22.jpg,Pro ASP.NET MVC 4,Apress
58,Photo 02-09-16 09 35 35.jpg,Exam 70-448 Microsoft SQL Server 2008 - Business Intelligence Developmet and Maintenance,Microsoft
59,Photo 02-09-16 09 35 57.jpg,Windows Communication Foundation 4,Microsoft
60,Photo 02-09-16 09 36 04.jpg,Microsoft Dynamics CRM 2011 Administration,
61,Photo 02-09-16 09 36 14.jpg,Microsoft Dynamics CRM 2011,Microsoft
62,Photo 02-09-16 09 36 21.jpg,Exam 70-516 Accessing Data with Microsoft .NET Framework 4,Microsoft
63,Photo 02-09-16 09 37 00.jpg,Service Strategy based on ITIL V3,Van Haren Publishing
64,Photo 02-09-16 09 37 06.jpg,Enterprise Content Management,
65,Photo 02-09-16 09 37 12.jpg,Java Concurrency in Practice,Addison Wesley
66,Photo 02-09-16 09 38 53.jpg,ActionScript Developer´s Guide to Robotlegs,O´REILLY
67,Photo 02-09-16 09 39 00.jpg,Pro JPA 2 Mastering the Java Persistence API,Apress
68,Photo 02-09-16 09 39 08.jpg,Java Programming with Oracle JDBC,O´REILLY
69,Photo 02-09-16 09 39 15.jpg,Enjoying Web Development with Wicket,
70,Photo 02-09-16 09 39 23.jpg,Programming Concurrency on the JVM,The Pragmatic Programmers
71,Photo 02-09-16 09 39 30.jpg,Java Programming with SAP NetWeaver,Galileo Press
72,Photo 02-09-16 09 39 39.jpg,"Foundations of Multithreaded, Parallel, and Distributed Programming",
73,Photo 02-09-16 09 40 40.jpg,Oracle WebLogic Server 11g Administration Handbook,Oracle Press
74,Photo 02-09-16 09 41 38.jpg,Mongo DB The Definitive Guide,O´REILLY
75,Photo 02-09-16 09 41 44.jpg,Developing Microsoft Azure Solutions Exam Ref 70-532,Microsoft
76,Photo 02-09-16 09 41 51.jpg,Beginning Scala,Apress
77,Photo 02-09-16 09 41 57.jpg,Programming Concurrency on the JVM,The Pragmatic Programmers
78,Photo 02-09-16 09 43 34.jpg,High Performance MySQL,O´REILLY
79,Photo 02-09-16 09 43 42.jpg,Specification by Example,Manning
80,Photo 02-09-16 09 43 50.jpg,Ajax in action,Manning
81,Photo 02-09-16 09 43 58.jpg,Programming Scala,O´REILLY
82,Photo 02-09-16 09 44 07.jpg,"Data Crunching - Solve Everyday Problems Using Java, Python, and More",The Pragmatic Programmers
83,Photo 02-09-16 09 44 16.jpg,Rails Test Prescriptions - Keeping your application healthy,The Pragmatic Programmers
84,Photo 02-09-16 09 45 33.jpg,Agile Retrospectives - Making Good Teams Great,The Pragmatic Programmers
85,Photo 02-09-16 09 46 37.jpg,Groovy Programming - An introduction for Java Developers,MK
86,Photo 02-09-16 09 49 37.jpg,Exam 70-516 Accessing Data with Microsoft .NET Framework 4,Microsoft
87,Photo 02-09-16 09 49 54.jpg,Exam 70-562 Microsoft .NET Framework 3.5 - ASP.NET Application Development,Microsoft
88,Photo 02-09-16 09 50 03.jpg,Service Design Patterns,Addison Wesley
89,Photo 02-09-16 09 50 10.jpg,Hadoop in action,Manning
90,Photo 02-09-16 09 50 15.jpg,Mule in action,Manning
91,Photo 02-09-16 09 50 21.jpg,Handbook of Usability Testing,
92,Photo 02-09-16 09 50 27.jpg,Head First Design Patterns,O´REILLY
93,Photo 02-09-16 09 51 49.jpg,Continuous Delivery,Addison Wesley
94,Photo 02-09-16 09 51 58.jpg,Patterns of Enterprise Application Architecture,Addison Wesley
95,Photo 02-09-16 09 52 06.jpg,Programming WCF Services,O´REILLY
96,Photo 02-09-16 09 52 15.jpg,GIS for Web Developers,The Pragmatic Programmers
97,Photo 02-09-16 09 57 58.jpg,Test-Driven Development by Example,Addison Wesley
98,Photo 02-09-16 10 39 25.jpg,Building iPhone Apps,O´REILLY
99,Photo 02-09-16 10 39 33.jpg,Programming Collective Intelligence,O´REILLY
100,Photo 02-09-16 10 39 41.jpg,Discovering SAP,Galileo Press
101,Photo 02-09-16 10 39 48.jpg,Node Web Development,Packt
102,Photo 02-09-16 10 39 58.jpg,HTTP The Definitive Guide,O´REILLY
103,Photo 02-09-16 10 40 06.jpg,Agile Estimating and Planning,Prentice Hall
104,Photo 02-09-16 10 40 15.jpg,Liferay User Interface Development,Packt
105,Photo 02-09-16 10 40 22.jpg,Lean Software Development - An Agile Toolkit,Addison Wesley
106,Photo 02-09-16 10 40 23.jpg,Lean Software Development - An Agile Toolkit,Addison Wesley
107,Photo 02-09-16 10 40 31.jpg,Search Engine Visibility,
108,Photo 02-09-16 10 40 37.jpg,SCBCD Exam Study Kit CX-310-090 Java Business Component Developer Certification for EJB,Manning
109,Photo 02-09-16 10 40 44.jpg,Information Dashboard Design,O´REILLY
110,Photo 02-09-16 10 40 52.jpg,Silverlight 4 in action,Manning
111,Photo 02-09-16 10 41 00.jpg,Exam 70-463 Implementing a Data Warehouse with Microsoft SQL Server 2012,Microsoft
112,Photo 02-09-16 10 41 09.jpg,Applied Cryptography,
113,Photo 02-09-16 10 41 19.jpg,SAP R/3 Handbook,MC Graw Hill
114,Photo 02-09-16 10 42 22.jpg,Tribal Leadership,
115,Photo 02-09-16 10 43 52.jpg,Saharepoint 2010 WebParts in action,Manning
116,Photo 02-09-16 10 44 02.jpg,Business Process Driven SOA using BPMN and BPEL,Packt
117,Photo 02-09-16 10 44 13.jpg,BPMN Modeling and Reference Guide,
118,Photo 02-09-16 10 44 24.jpg,Designing with the Mind in Mind,MK
119,Photo 02-09-16 10 44 39.jpg,Continual Service Improvement based on ITIL V3,VHP
120,Photo 02-09-16 10 44 47.jpg,Service Design based on ITIL V3,VHP
121,Photo 02-09-16 10 44 56.jpg,IEEE Computer Society Real-World Software Engineering Problems,
122,Photo 02-09-16 10 45 05.jpg,The art of Unit Testing,Manning
123,Photo 02-09-16 10 45 16.jpg,Practical Jruby on Rails Web 2.0 Projects,O´REILLY
124,Photo 02-09-16 10 47 06.jpg,User Stories Applied - For Agile Software Development,Addison Wesley
125,Photo 02-09-16 10 47 18.jpg,Universal Principles of Design,
126,Photo 02-09-16 10 47 36.jpg,Myy Enemmän Myy Paremmin,WSOYpro
127,Photo 02-09-16 10 47 44.jpg,Pysy Parhaana,Talentum
128,Photo 02-09-16 10 47 52.jpg,Tribes - We Need You to Lead Us,
129,Photo 02-09-16 10 48 01.jpg,Steve Jobs,Otava
130,Photo 02-09-16 10 48 07.jpg,Beyond Budgeting,Harward Business Review Press
131,Photo 02-09-16 10 48 22.jpg,The Innovator´s Dilemma - When New Technologies Cause Great Firms to Fail,
132,Photo 02-09-16 10 51 18.jpg,Foundations of F#,Apress
133,Photo 02-09-16 10 51 24.jpg,Release It! - Design and Deploy Production-Ready Software,The Pragmatic Programmers
134,Photo 02-09-16 10 51 41.jpg,Learning the Yahoo! User Interface Library,Packt
135,Photo 02-09-16 10 51 56.jpg,Beginning Smartphone Web Development,Apress
136,Photo 02-09-16 10 52 09.jpg,EJB 3 in action,Manning
137,Photo 02-09-16 10 52 26.jpg,iPhone and iPad Apps for Absolute Beginners,Apress
138,Photo 02-09-16 10 52 41.jpg,Software Requirements,Microsoft
139,Photo 02-09-16 10 53 47.jpg,Marketing Management,
140,Photo 02-09-16 10 53 54.jpg,Programming Microsoft LINQ,Microsoft
141,Photo 02-09-16 10 54 01.jpg,Microsoft .NET Architecting Applications for the Enterprise,Microsoft
142,Photo 02-09-16 10 54 12.jpg,Introducing Microsoft LINQ,Microsoft
143,Photo 02-09-16 10 54 19.jpg,Microsoft SQL Server 2005: Database Essentials,Microsoft
144,Photo 02-09-16 10 54 28.jpg,Marketing Management,
145,Photo 02-09-16 10 54 37.jpg,SQL Server 2005,Microsoft
146,Photo 02-09-16 10 54 43.jpg,Microsoft Application Architecture Guide,Microsoft
147,Photo 02-09-16 10 54 51.jpg,Microsoft Dynamics CRM 2011 Scripting Cookbook,Packt
148,Photo 02-09-16 10 54 57.jpg,Exam 70-433 Microsoft SQL Server 2008 Database Development,Microsoft
149,Photo 02-09-16 10 55 03.jpg,SQL Server 2005 Analysis Services,Microsoft
150,Photo 02-09-16 10 55 09.jpg,Working with Microsoft Dynamics CDM 4.0,Microsoft
151,Photo 02-09-16 10 55 16.jpg,SQL Server 2008 Reporting Services,Microsoft
152,Photo 02-09-16 10 55 51.jpg,Dialogin aika - Markkinoinnin & viestinnän digitaaliset mahdollisuudet,Infor
153,Photo 02-09-16 10 55 57.jpg,StratMark: Strateginen markkinointiosaaminen,Talentum
154,Photo 02-09-16 10 57 08.jpg,The CRM Handbook,Addison Wesley
155,Photo 02-09-16 10 57 17.jpg,Building Business with CRM,
156,Photo 02-09-16 10 57 23.jpg,Silverlight + CRM,
157,Photo 02-09-16 10 57 29.jpg,CRM as a Rapid Development Platform,
158,Photo 02-09-16 11 00 47.jpg,Web Operations - Keeping the data on time,O´REILLY
159,Photo 02-09-16 11 01 03.jpg,The Definite ANTLR reference - Building Domain Specific Languages,The Pragmatic Programmers
160,Photo 02-09-16 11 01 12.jpg,Seven Languages in Seven Weeks,The Pragmatic Programmers
161,Photo 02-09-16 11 01 18.jpg,Patterns of Enterprise Application Architecture,Addison Wesley
162,Photo 02-09-16 11 01 24.jpg,a/b always be testing - The Complete Guide to Google Website Optimizer,
163,Photo 02-09-16 11 01 30.jpg,Responsive Web Design,
164,Photo 02-09-16 11 01 36.jpg,Responsive Web Design with HTML5 and CSS3,Packt
165,Photo 02-09-16 11 01 44.jpg,Implementing Application Frameworks - Object-Oriented Frameworks at Work,Wiley
166,Photo 02-09-16 11 01 51.jpg,Professional SWL Server 2005 Reporting Services,Wrox
167,Photo 02-09-16 11 01 58.jpg,DB2 Version 8 The Official Guide,IBM Press
168,Photo 02-09-16 11 02 03.jpg,Microsoft SQL Server 2012 Master Data Services,
169,Photo 02-09-16 11 02 11.jpg,System Thinking in the public sector,
170,Photo 02-09-16 11 02 22.jpg,Testing Computer Sofware,Wiley
171,Photo 02-09-16 11 02 29.jpg,Apache HTTP Server Reference Manual,Network theory LTD
172,Photo 02-09-16 11 02 34.jpg,Object-Oriented Programming,
173,Photo 02-09-16 11 02 39.jpg,Android Wireless Application Development,Addison Wesley
174,Photo 02-09-16 11 02 44.jpg,Structure and Interpretation of Computer Programs,
175,Photo 02-09-16 11 02 54.jpg,Beginning Silverlight 4 in C#,Apress
176,Photo 02-09-16 11 05 39.jpg,Testing Computer Sofware,Wiley
177,Photo 02-09-16 11 05 46.jpg,Professional Javascript for Web Developers,Wrox
178,Photo 02-09-16 11 05 54.jpg,Business Component Factory,OMG Press
179,Photo 02-09-16 11 06 02.jpg,Security Engineering,Wiley
180,Photo 02-09-16 11 06 11.jpg,The Unified Process Elaboration Phase,
181,Photo 02-09-16 11 06 23.jpg,The Inmates Are Running The Asylum,
182,Photo 02-09-16 11 06 40.jpg,Mobile Usability,
183,Photo 02-09-16 11 06 49.jpg,Perfect Software and other illusions about testing,
184,Photo 02-09-16 11 07 00.jpg,Bridging the Communication Gap - Specification by example and agile acceptance testing,
185,Photo 02-09-16 11 07 20.jpg,Design Research Through Practice,MK
186,Photo 02-09-16 11 07 30.jpg,Selling Information Governance to the Business,
187,Photo 02-09-16 11 07 38.jpg,Lessons Learned in Software Testing,
188,Photo 02-09-16 11 07 47.jpg,WPF 4 unleashed,SAMS
189,Photo 02-09-16 11 08 09.jpg,C++ ja olio-ohjelmointi,
190,Photo 02-09-16 11 08 16.jpg,Quality Software Management,
191,Photo 02-09-16 11 08 21.jpg,Refactoring to Patterns,Addison Wesley
192,Photo 02-09-16 11 08 34.jpg,"Agile Principles, Patterns and Practices in C#",Prentice Hall
193,Photo 02-09-16 11 09 41.jpg,DB2 Developer´s Guide,SAMS
194,Photo 02-09-16 11 09 50.jpg,BizTalk 2006 Recipes,Apress
195,Photo 02-09-16 11 10 02.jpg,Working with Microsoft Dynamics CDM 4.0,Microsoft
196,Photo 02-09-16 11 10 11.jpg,iPad Application Development in 24 hours,SAMS
197,Photo 02-09-16 11 11 06.jpg,A Guide to the Project Management Body of Knowledge,
198,Photo 02-09-16 11 11 14.jpg,Don´t make me think - A common sense approach to Web Usability,
199,Photo 02-09-16 11 18 26.jpg,Drools Jboss Rules 5.0 - Developers guide,Packt
200,Photo 02-09-16 11 18 34.jpg,Documenting Software Architectures,Addison Wesley
201,Photo 02-09-16 11 18 41.jpg,A Pattern Approach to Integration Design,Wiley
202,Photo 02-09-16 11 18 48.jpg,Securing WebLogic Server 12c,Packt
203,Photo 02-09-16 11 18 53.jpg,Product Design Now - Design and sketches,
204,Photo 02-09-16 11 19 01.jpg,User Stories Applied - For Agile Software Development,Addison Wesley
205,Photo 02-09-16 11 19 06.jpg,Community Building on the web,
206,Photo 02-09-16 11 19 13.jpg,Letterhead & Logo design 10,
207,Photo 02-09-16 11 19 21.jpg,C-ohjelmointikieli,OtaDATA ry
208,Photo 02-09-16 11 19 34.jpg,New Media 1,
209,Photo 02-09-16 11 19 43.jpg,Asiakkuuden ehdoilla,WSOY
210,Photo 02-09-16 11 19 49.jpg,Querying Microsoft SQL Server 2012,Microsoft
211,Photo 02-09-16 11 20 01.jpg,Pro WF - Windows Workflow in .NET 3.5,Apress
212,Photo 02-09-16 11 20 14.jpg,The official introduction to the ITIL Service Lifecycle,
213,Photo 02-09-16 11 20 25.jpg,Requirements by Collaboration,Addison Wesley
214,Photo 02-09-16 11 20 32.jpg,ASL - A Framework for Application Management,VHP
215,Photo 02-09-16 11 20 38.jpg,Software Testing,SAMS
216,Photo 02-09-16 11 20 43.jpg,User Stories Applied - For Agile Software Development,Addison Wesley
217,Photo 02-09-16 11 21 02.jpg,Applying UML and Patterns,
218,Photo 02-09-16 11 21 07.jpg,Database Modeling and Design,MK
219,Photo 02-09-16 11 21 13.jpg,Turn Your Ship Around,
220,Photo 02-09-16 11 21 24.jpg,Fundamentals of Corporate Finance,
221,Photo 02-09-16 11 21 32.jpg,Human-Computer Interaction,Addison Wesley
222,Photo 02-09-16 11 21 36.jpg,Professional Oracle WebLogic Server,Wrox
223,Photo 02-09-16 11 21 41.jpg,SignalR Programming in Microsoft ASP.NET,Microsoft
224,Photo 02-09-16 11 21 47.jpg,Professional ASP.NET Design Patterns,Wrox
225,Photo 02-09-16 11 21 52.jpg,Sketching User Experiences,Focal Press
226,Photo 02-09-16 11 22 06.jpg,Code Complete,Microsoft
227,Photo 02-09-16 11 22 10.jpg,Applying Domain-Driven Design and Patterns,Addison Wesley
228,Photo 02-09-16 11 22 17.jpg,Programming Languages - Concepts & Constructs,
229,Photo 02-09-16 11 22 25.jpg,Modeling The Agile Data Warehouse with Data Vault,
230,Photo 02-09-16 11 22 36.jpg,Programming the Mobile Web,O´REILLY
231,Photo 02-09-16 11 22 42.jpg,Practical TCP/IP and Ethernet Networking,